ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days Subscribed,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count
266,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,2/23/20,1/1/99,28802,Yes,No,NULL,NULL,Off,US/Canada,Other,App,Yes,Yes,7,0,0,0,0
275,ENG,Limited,RENEWAL,Web,35.97,USD,1/10/20,7/10/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0
278,ESP,Limited,INITIAL_PURCHASE,Web,207.9,USD,12/3/19,12/3/20,366,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,20,17,9,5,1
279,DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/16/19,12/16/20,396,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,5,3,0,2,0
283,ITA,Limited,INITIAL_PURCHASE,Web,69.5,USD,12/10/19,6/18/20,191,No,Yes,12/10/19,12/13/19,On,US/Canada,Consumer,Web,Yes,Yes,131,0,0,0,0
286,ESP,Limited,RENEWAL,Web,35.97,USD,3/1/19,6/1/20,458,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0
292,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/8/20,6/8/20,92,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,7,0,0,0,0
297,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,2/20/20,1/1/99,28805,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,109,15,1,10,1
302,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,8/11/19,3/7/20,209,No,Yes,8/11/19,8/14/19,Off,US/Canada,Consumer,Web,Yes,Yes,24,0,0,0,0
304,RUS,Limited,RENEWAL,Web,79,USD,10/6/19,4/6/20,183,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,182,33,0,3,0
308,FRA,Limited,RENEWAL,Web,119,USD,2/4/19,8/4/20,547,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0
311,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/17/20,1/1/99,28779,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,No,Yes,NULL,NULL,NULL,NULL,NULL
324,ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,7/21/19,1/21/20,184,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
326,ESP,Limited,RENEWAL,Web,119,USD,8/6/19,8/6/20,366,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,2,1,0,1,0
333,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/12/19,5/15/20,185,No,Yes,11/12/19,11/15/19,On,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
334,HEB,Limited,RENEWAL,Web,19.99,USD,9/27/19,4/27/20,213,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,4,0,0,0,0
335,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/8/19,3/8/20,182,Yes,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,28,6,5,2,1
338,ESP,Limited,RENEWAL,Web,79,USD,2/4/19,5/4/20,455,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,14,13,0,3,0
345,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/27/20,4/30/20,94,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,30,28,0,9,0
348,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,3/23/20,3/23/22,730,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,45,0,0,0,0
353,CHI,Lifetime,INITIAL_PURCHASE,Web,52.55,USD,12/24/18,1/1/99,29228,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,1,1,0,1,0
355,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/8/20,7/8/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,Web,No,Yes,17,11,3,5,2
357,ESP,Limited,INITIAL_PURCHASE,Web,42.46,USD,9/24/19,3/27/20,185,No,Yes,9/24/19,9/27/19,Off,US/Canada,Consumer,Web,Yes,Yes,7,1,0,1,0
362,ESP,Limited,RENEWAL,Web,35.97,USD,8/26/19,5/29/20,277,No,Yes,8/26/19,8/29/19,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0
364,ESP,Limited,RENEWAL,Web,35.97,USD,11/30/19,5/29/20,181,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,4,4,0,3,0
365,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,2/15/19,1/1/99,29175,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,15,9,9,2,2
375,POR,Limited,RENEWAL,Web,35.97,USD,9/24/19,6/24/20,274,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,10,9,6,3,1
376,ENG,Limited,RENEWAL,Web,35.97,USD,12/15/19,6/15/20,183,No,Yes,12/8/19,12/11/19,On,US/Canada,Consumer,Web,Yes,Yes,4,1,0,1,0
378,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/24/20,6/30/20,98,No,Yes,3/24/20,3/27/20,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0
382,ENG,Limited,RENEWAL,Web,35.97,USD,1/14/20,7/14/20,182,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,8,0,0,0,0
384,ESC,Limited,RENEWAL,Web,35.97,USD,9/5/19,6/5/20,274,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,6,6,0,3,0
387,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,7/14/19,10/14/19,92,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,127,24,6,12,1
393,EBR,Limited,INITIAL_PURCHASE,Web,78,USD,11/12/18,3/12/20,486,No,No,NULL,NULL,Off,Other,Consumer,Web,No,Yes,9,9,0,2,0
397,ALL,Lifetime,INITIAL_PURCHASE,Web,188.28,USD,3/20/20,1/1/99,28776,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,25,7,6,3,2
399,ALL,Lifetime,INITIAL_PURCHASE,Web,49,USD,8/27/19,1/1/99,28982,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,7,3,0,1,0
401,DEU,Limited,RENEWAL,Web,119,USD,2/10/19,2/10/20,365,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,29,0,0,0,0
406,ESP,Limited,INITIAL_PURCHASE,Web,42.27,USD,8/25/19,2/28/20,187,No,Yes,8/25/19,8/28/19,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0
408,KOR,Limited,INITIAL_PURCHASE,Web,39,USD,1/13/20,4/20/20,98,No,Yes,1/13/20,1/16/20,Off,US/Canada,Consumer,Web,Yes,Yes,14,2,0,2,0
414,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/20/20,1/1/99,28776,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,73,54,6,14,2
417,ITA,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/15/19,11/15/20,366,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,6,5,0,2,0
424,CHI,Limited,INITIAL_PURCHASE,Web,72.6,USD,11/17/19,11/17/20,366,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0
428,FRA,Limited,INITIAL_PURCHASE,Web,39,USD,7/22/19,10/25/19,95,No,Yes,7/22/19,7/25/19,Off,US/Canada,Consumer,Web,Yes,Yes,122,0,0,0,0
430,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/18/20,5/18/20,90,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,8,0,0,0,0
432,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/15/20,3/15/21,365,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,7,0,0,0,0
437,ALL,Limited,INITIAL_PURCHASE,Web,104.39,USD,3/19/20,3/19/21,365,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,24,15,15,1,1
442,RUS,Lifetime,INITIAL_PURCHASE,Web,179,USD,12/3/19,1/1/99,28884,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,9,8,0,2,0
445,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/16/20,3/16/21,365,No,Yes,2/18/20,2/21/20,On,US/Canada,Consumer,Web,Yes,Yes,51,1,1,1,1
448,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,6/10/19,4/10/20,305,No,Yes,1/7/20,1/10/20,Off,US/Canada,Consumer,Web,Yes,Yes,21,8,0,2,0
454,ITA,Limited,INITIAL_PURCHASE,Web,38.22,USD,2/4/20,5/4/20,90,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,17,1,0,1,0
456,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,2/20/20,1/1/99,28805,No,Yes,2/20/20,2/23/20,Off,US/Canada,Consumer,Web,Yes,Yes,23,22,0,4,0
458,ALL,Lifetime,INITIAL_PURCHASE,Web,204.12,USD,1/2/20,1/1/99,28854,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,8,0,0,0,0
462,ESP,Limited,RENEWAL,Web,79,USD,10/24/19,4/24/20,183,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,9,7,0,2,0
466,ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,3/17/20,1/1/99,28779,No,Yes,12/3/19,12/6/19,Off,US/Canada,Consumer,Web,Yes,Yes,14,6,0,3,0
468,ESP,Limited,INITIAL_PURCHASE,Web,126.44,USD,10/13/19,4/16/20,186,No,Yes,10/13/19,10/16/19,Off,US/Canada,Consumer,Web,Yes,Yes,5,4,0,3,0
469,ALL,Lifetime,INITIAL_PURCHASE,Web,212.93,USD,3/5/20,1/1/99,28791,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0
476,ESP,Limited,RENEWAL,Web,79,USD,7/9/19,4/12/20,278,No,Yes,7/9/19,7/12/19,Off,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0
480,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/31/20,4/30/20,90,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,14,0,0,0,0
482,ALL,Lifetime,INITIAL_PURCHASE,Web,218.9,USD,3/21/20,1/1/99,28775,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,55,7,3,3,1
491,ALL,Lifetime,INITIAL_PURCHASE,Web,201.76,USD,3/7/20,1/1/99,28789,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,236,176,16,68,4
492,CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,1/20/20,1/20/21,366,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,96,81,13,28,3
